bldg_id,BuildingType,RC,WallArea,surfaceArea,OverallHeight,Orientation,GalzingArea,GlazingAreaDistribution,,HeatingEnergykwh,CoolingEnergy
1158,Mobile Home,0.937146424,840.8,1474.8,1,West,75.6,0.089914367,,326.7742433,905.2965358
1205,Single-Family Detached,0.871514547,1637.6,3332.5,1,East,125.4,0.076575476,,4914.215704,5746.537545
1268,Single-Family Detached,0.928814344,4463.8,8070,2,West,500.8,0.112191406,,34294.59049,11561.36065
1269,20 to 49 Unit,0.962018974,201.2,201.2,3,South,60.3,0.299701789,,270.7976689,1754.616497
1287,Single-Family Attached,0.873464516,787.3,1994.3,1,East,47.2,0.059951734,,16697.43115,2066.444116
1381,3 or 4 Unit,0.910018263,487.9,1341.9,1,Northwest,43.9,0.089977454,,7971.240038,3471.426826
1387,Single-Family Detached,0.744529875,2916.6,7583.2,1,East,99.5,0.034115065,,4573.960192,4354.15689
1393,Mobile Home,0.906940775,991.2,1872.2,1,West,89.2,0.089991929,,1066.485625,2231.443128
1399,Single-Family Detached,0.871514547,1340.8,2713.8,1,East,140.4,0.104713604,,2011.346754,2223.823281
1477,Single-Family Detached,0.995742895,2512.8,3775,2,South,166.4,0.066220949,,16259.2899,2630.312855
1524,Single-Family Attached,0.990665862,958.2,1675.5,3,South,172.3,0.179816322,,8813.233222,67.99248828
1529,Single-Family Detached,0.928814344,4373.8,7819,2,Southwest,515.2,0.117792309,,25525.611,4998.620172
1632,Single-Family Detached,0.906940775,1261,2430,1,West,105.2,0.083425852,,3715.555028,4306.386305
1636,Single-Family Detached,0.801044342,2265.2,5345.4,1,Northeast,123.4,0.054476426,,8764.583425,6084.155417
1641,Single-Family Detached,0.988418785,2355.6,3573.6,2,South,330.5,0.140303957,,31986.36275,1781.579035
1727,Single-Family Detached,0.995742895,2466,3576.2,2,North,116.9,0.047404704,,8729.707967,1561.189591
1766,Single-Family Detached,0.871514547,1340.8,2713.8,1,North,70.2,0.052356802,,12982.46226,4339.210265
1769,Single-Family Detached,0.995742895,1334.6,2475.8,2,South,54.8,0.041060992,,8828.179847,6791.922051
1999,Single-Family Detached,0.906940775,1421.4,2728.3,1,Northeast,78.9,0.055508653,,2769.228542,2642.62184
2044,10 to 19 Unit,0.995949589,684.8,684.8,2,North,82.1,0.119889019,,3862.383634,2452.125644
2119,Single-Family Detached,0.995742895,2512.8,3775,2,South,333.1,0.132561286,,4386.394708,2114.214701
2146,Mobile Home,0.906940775,991.2,1872.2,1,South,118.8,0.119854722,,10761.5697,2932.176057
2151,Single-Family Detached,0.906940775,1421.4,2728.3,1,Southwest,105.2,0.074011538,,1844.882387,4989.828041
2168,Single-Family Attached,0.999939426,586,1260.8,2,North,35.2,0.060068259,,6592.340653,2130.62668
2177,Single-Family Detached,0.832924253,1611.8,3510.2,1,North,247.6,0.153617074,,7044.256243,6192.005571
2193,Single-Family Detached,0.832924253,1898.8,4119.2,1,South,186.2,0.098061934,,6116.979376,4801.969485
2209,5 to 9 Unit,0.962018974,764.5,1902.5,3,North,137.6,0.17998692,,959.2216127,95.24809781
2322,Single-Family Detached,0.832924253,1376,3074,1,West,247.6,0.17994186,,12443.79764,3033.285577
2352,Single-Family Detached,0.995742895,2466,3576.2,2,South,233.4,0.094647202,,22352.53052,4450.577272
2360,Single-Family Detached,0.801044342,1861.2,4297.4,1,Northeast,187,0.100472813,,6829.728219,8538.039487
2371,Single-Family Attached,0.988871039,1728.6,2931.6,2,West,178.3,0.103147055,,10148.75809,2352.48148
2386,Mobile Home,0.937146424,840.8,1474.8,1,Northwest,75.6,0.089914367,,1409.085706,2586.645265
2421,Single-Family Detached,0.773567127,2010.4,5264.4,1,West,137.7,0.068493832,,17117.10892,7322.966831
2450,Single-Family Detached,0.928814344,3913.8,7139.3,2,East,400.4,0.102304666,,11636.09377,7550.976123
2467,Single-Family Detached,0.871514547,1637.6,3332.5,1,East,125.4,0.076575476,,3072.264029,3207.369792
2508,50 or more Unit,0.355425891,402.4,402.4,35,Northeast,120.6,0.299701789,,426.7114782,2033.913227
2515,Single-Family Detached,0.906940775,1113.6,2098.6,1,East,118.8,0.106681034,,1509.022941,1858.070585
2520,10 to 19 Unit,0.99999585,201.2,201.2,2,West,18.1,0.089960239,,538.957698,2013.984395
2521,Single-Family Detached,0.99988623,2038.8,2796.8,2,Northwest,248.4,0.121836374,,5781.11993,3921.58399
2525,Single-Family Detached,0.928814344,4373.8,7819,2,South,412,0.094197266,,693.4061521,7274.903175
2624,Single-Family Detached,0.871514547,1340.8,2713.8,1,Northwest,105.4,0.078609785,,8225.039585,570.9024447
2711,Mobile Home,0.937146424,840.8,1474.8,1,Northwest,126,0.149857279,,2199.791453,1034.833949
2720,Single-Family Detached,0.832924253,1898.8,4119.2,1,East,111.7,0.058826627,,1218.882581,4260.960289
2802,Single-Family Detached,0.871514547,1170.2,2398.2,1,West,175.4,0.149888908,,12165.08705,2664.895241
2837,Single-Family Detached,0.988418785,2588.2,3965.7,2,Northeast,189.9,0.073371455,,16786.23169,5331.548908
2839,10 to 19 Unit,0.962018974,563.3,563.3,3,West,33.8,0.060003551,,795.9810266,1932.510637
2841,Single-Family Detached,0.832924253,2027.8,4570.2,1,Southeast,108,0.05325969,,4020.34894,3450.032639
2855,Single-Family Detached,0.801044342,2265.2,5345.4,1,East,411.2,0.181529225,,17963.49818,7895.627701
2879,Single-Family Detached,0.744529875,2766.8,7111.4,1,South,154.4,0.05580454,,2241.407545,5726.31564
2903,Single-Family Detached,0.995742895,2064,3013.2,2,Southeast,174.9,0.084738372,,1523.969565,3706.176754
2914,Single-Family Detached,0.832924253,1611.8,3510.2,1,North,165.2,0.102494106,,9205.069243,11193.26338
2956,Single-Family Attached,0.996000752,690.8,1628.8,2,Southeast,103.7,0.150115808,,6862.84525,3508.646853
3006,Single-Family Detached,0.832924253,2027.8,4570.2,1,Southeast,72,0.03550646,,3788.236653,4689.723265
3030,Single-Family Detached,0.832924253,2027.8,4570.2,1,South,216,0.106519381,,1708.018197,6372.244279
3044,5 to 9 Unit,0.997557105,487.9,487.9,2,North,87.9,0.180159869,,4333.348843,1301.528623
3095,2 Unit,0.910018263,662.2,1516.2,1,North,59.6,0.09000302,,209.5458152,1770.149263
3159,2 Unit,0.981471835,406.6,728.6,1,South,36.5,0.089768815,,635.3780801,1433.117533
3163,20 to 49 Unit,0.98165708,244.6,1926.6,3,East,29.3,0.119787408,,191.3754088,3314.047661
3232,Single-Family Detached,0.832924253,1680,3954,1,West,360,0.214285714,,9119.19942,9419.890338
3259,Single-Family Detached,0.871514547,1340.8,2713.8,1,Southeast,70.2,0.052356802,,13730.67271,2382.960871
3298,Single-Family Detached,0.832924253,1680,3954,1,Northeast,180,0.107142857,,12717.52602,3369.438094
3329,Single-Family Detached,0.979627785,2443.8,3782.8,2,East,219.7,0.089900974,,2514.256711,3947.667315
3349,Single-Family Attached,0.999939426,586,1260.8,2,South,52.8,0.090102389,,8362.196846,2164.036782
3382,Single-Family Detached,0.773567127,2648.2,6608.2,1,North,133.1,0.050260554,,18350.35199,3618.255432
3396,Single-Family Detached,0.988418785,2204.2,3293.7,2,East,396.7,0.179974594,,28798.92178,4184.175669
3401,Single-Family Detached,0.871514547,1637.6,3332.5,1,Northeast,313.6,0.191499756,,19357.05111,4519.155902
3409,Single-Family Detached,0.832924253,1611.8,3510.2,1,East,123.8,0.076808537,,19763.83376,4693.240118
3499,Single-Family Detached,0.744529875,1921.2,5231.2,1,Northeast,173,0.090047887,,1020.766537,1292.150348
3544,Single-Family Detached,0.871514547,1340.8,2713.8,1,East,210.6,0.157070406,,38805.24733,67.99248828
3545,Single-Family Detached,0.906940775,1421.4,2728.3,1,South,52.7,0.037076122,,6120.496229,2270.128509
3546,Single-Family Detached,0.871514547,1637.6,3332.5,1,Southeast,125.4,0.076575476,,5028.806493,1553.569743
3585,5 to 9 Unit,0.880032866,201.2,1339.2,1,West,36.2,0.179920477,,386.5607415,1711.53505
3682,Single-Family Detached,0.801044342,1861.2,4297.4,1,Southwest,187,0.100472813,,0,5036.719411
3692,Single-Family Detached,0.995742895,2512.8,3775,2,Northwest,277.6,0.110474371,,15723.55598,7121.040863
3779,Mobile Home,0.984889259,576.4,874.4,1,West,173,0.300138793,,1937.199774,809.4622958
3794,20 to 49 Unit,0.990124305,767.8,767.8,3,Southeast,138.2,0.17999479,,959.2216127,686.0793752
3829,Single-Family Detached,0.832924253,2027.8,4570.2,1,Northwest,180,0.088766151,,3101.571136,3688.299418
3835,Single-Family Detached,0.871514547,1637.6,3332.5,1,South,188.2,0.114924279,,9117.440993,2484.363462
3857,20 to 49 Unit,0.989937806,416.7,1039.7,2,North,25,0.0599952,,1050.659787,1005.526842
3880,50 or more Unit,0.519528933,416.7,416.7,13,North,125.1,0.300215983,,1738.204517,1349.006136
3914,10 to 19 Unit,0.99999585,201.2,1339.2,2,Northeast,12.1,0.060139165,,3282.689057,1497.007026
3943,Single-Family Detached,0.744529875,2766.8,7111.4,1,West,205.8,0.074381957,,41750.02544,4457.317906
4014,3 or 4 Unit,0.99999585,764.5,1902.5,2,West,91.6,0.119816874,,1679.883374,2632.364352
4055,Single-Family Detached,0.744529875,2766.8,7111.4,1,West,308.7,0.111572936,,599.0372674,5365.838224
4066,10 to 19 Unit,0.99999585,201.2,1339.2,2,South,30.2,0.150099404,,2097.802721,967.1345315
4177,Single-Family Detached,0.832924253,1898.8,4119.2,1,North,149,0.078470613,,2784.468237,4418.925596
4207,Single-Family Detached,0.670787006,3639.4,10529.8,1,North,340.8,0.093641809,,16275.40881,6817.419234
4210,Mobile Home,0.871514547,1170.2,2398.2,1,South,140.4,0.119979491,,1869.793428,3456.773273
4235,20 to 49 Unit,0.962018974,201.2,1339.2,3,South,36.2,0.179920477,,1052.125142,1473.26827
4311,Single-Family Detached,0.773567127,2494.4,6132.4,1,West,137.7,0.055203656,,9798.245089,4188.278664
4314,Single-Family Detached,0.995742895,1946,2795,2,Northwest,233.3,0.119886948,,12512.96241,95.24809781
4337,5 to 9 Unit,0.995949589,684.8,684.8,2,Southwest,102.7,0.149970794,,2184.551757,1084.656031
4352,Mobile Home,0.871514547,1170.2,2398.2,1,North,140.4,0.119979491,,749.9688686,3634.374341
4424,Single-Family Detached,0.979627785,2629.8,4126.8,2,West,219.7,0.083542475,,22624.79354,9356.586987
4425,Single-Family Detached,0.99048919,1233,1587.4,2,East,107.2,0.086942417,,12969.27407,3569.312564
4525,Mobile Home,0.906940775,991.2,1872.2,1,North,178.4,0.179983858,,4663.053798,2597.781966
4586,Single-Family Detached,0.871514547,1429,2945,1,West,62.8,0.043946816,,11075.15574,3653.42396
4592,Single-Family Detached,0.988418785,2588.2,3965.7,2,West,252.9,0.097712696,,4310.782372,7638.604373
4636,Single-Family Detached,0.937146424,1175.2,2097.2,1,West,133.8,0.113852961,,112.2462199,2683.065647
4765,Single-Family Detached,0.988418785,2355.6,3573.6,2,West,396.7,0.1684072,,15167.01402,4172.452826
4799,Single-Family Detached,0.995742895,2064,3013.2,2,East,233.3,0.113032946,,18438.85945,5272.934694
4825,Single-Family Detached,0.744529875,2381,6081.6,1,South,173,0.072658547,,16235.55115,6543.690855
4920,50 or more Unit,0.434880813,487.9,487.9,21,South,146.4,0.300061488,,1004.940699,2612.142448
5104,Single-Family Detached,0.988418785,2811.6,4351.7,2,West,189.9,0.067541613,,14194.89729,8768.393349
5135,Single-Family Detached,0.871514547,912.8,1599.2,1,Northeast,99.2,0.108676599,,10897.55468,0
5163,Single-Family Detached,0.988418785,2811.6,4351.7,2,South,252.9,0.089948784,,20222.48998,3198.870731
5165,Single-Family Detached,0.988418785,1253.6,2471.6,2,South,225.6,0.17996171,,20465.15283,6212.227474
5179,Single-Family Detached,0.832924253,1318,2743,1,West,75.5,0.057283763,,17734.60967,1122.75527
5219,50 or more Unit,0.875751516,174.3,174.3,4,East,26.1,0.149741824,,936.3620692,1581.704566
5221,50 or more Unit,0.783427751,148.8,148.8,5,West,44.7,0.300403226,,90.26588961,2017.794318
5241,Single-Family Detached,0.995742895,2512.8,3775,2,Northeast,277.6,0.110474371,,6951.645785,4707.600601
5254,Single-Family Detached,0.928814344,2417,5862.2,2,South,348.5,0.144187009,,9152.902593,5780.826859
5260,Single-Family Detached,0.995742895,2512.8,3775,2,Southwest,277.6,0.110474371,,17023.03311,5951.394222
5348,20 to 49 Unit,0.92112127,148.8,771.8,3,South,13.4,0.090053763,,989.9940751,1766.632411
5403,Mobile Home,0.744529875,1921.2,5231.2,1,Northeast,173,0.090047887,,9259.287391,2173.121985
5430,Single-Family Attached,0.997882701,1044.3,1531.7,2,West,56.7,0.054294743,,2105.715639,2429.852243
5464,Single-Family Detached,0.968042554,3402.8,5575.2,2,South,235.8,0.069295874,,547.163688,3814.319978
5468,Single-Family Detached,0.773567127,2100,5094,1,East,259.2,0.123428571,,3232.573904,5339.461828
5501,10 to 19 Unit,0.784345086,406.6,406.6,4,South,122,0.300049188,,4063.723459,1393.259867
5632,20 to 49 Unit,0.943945833,487.9,487.9,3,Northeast,29.3,0.06005329,,1201.884459,1796.232589
5647,Single-Family Detached,0.928814344,4373.8,7819,2,South,309.1,0.070670813,,3125.016821,4080.135439
5673,Single-Family Attached,0.873464516,1058.9,2408.3,1,Southwest,141.7,0.133818113,,1996.986272,1438.099741
5708,Single-Family Detached,0.832924253,1611.8,3510.2,1,Northeast,123.8,0.076808537,,17512.4618,5003.895452
5709,20 to 49 Unit,0.880032866,201.2,1339.2,1,North,30.2,0.150099404,,1193.385398,1882.102412
5714,Single-Family Detached,0.871514547,1340.8,2713.8,1,North,140.4,0.104713604,,3636.425839,2648.483261
5771,10 to 19 Unit,0.989937806,416.7,1039.7,2,Southwest,62.5,0.149988001,,686.9585885,1471.509843
5782,Single-Family Detached,0.832924253,1611.8,3510.2,1,South,123.8,0.076808537,,12990.37518,2587.81755
5810,Single-Family Detached,0.832924253,1376,3074,1,Northwest,82.4,0.059883721,,20366.38788,4833.328089
5829,Single-Family Detached,0.871514547,1170.2,2398.2,1,West,175.4,0.149888908,,3755.119622,790.4126762
5833,5 to 9 Unit,0.99999585,563.3,1701.3,2,Southeast,168.9,0.299840227,,1610.13246,4278.544554
5858,Single-Family Detached,0.928814344,4373.8,7819,2,Southeast,206,0.047098633,,1325.853522,1391.501441
5861,Single-Family Detached,0.871514547,1340.8,2713.8,1,North,140.4,0.104713604,,4811.933901,7155.91632
5918,Single-Family Detached,0.832924253,2027.8,4570.2,1,Northwest,108,0.05325969,,2096.337364,3261.294869
5921,Single-Family Detached,0.995742895,1347.6,2609.8,2,South,156.2,0.115909766,,3765.084038,2842.203238
5986,3 or 4 Unit,0.997557105,662.2,662.2,2,West,198.7,0.300060405,,1688.089364,2171.949701
6082,10 to 19 Unit,0.997557105,487.9,1341.9,2,North,146.4,0.300061488,,3501.906218,1588.738272
6086,Single-Family Detached,0.995742895,1667.4,2300.2,2,South,143.2,0.085882212,,5935.861456,4457.904048
6130,Single-Family Detached,0.995742895,2512.8,3775,2,Southwest,221.8,0.088268067,,2425.749248,5340.341041
6135,Single-Family Detached,0.832924253,2027.8,4570.2,1,West,108,0.05325969,,12593.85002,6976.263754
6178,Single-Family Attached,0.997882701,498,934,2,West,59.7,0.119879518,,8608.669615,2883.233189
6202,Single-Family Detached,0.99988623,1740,2426.4,2,South,148.8,0.085517241,,13373.71215,1907.892667
6217,Single-Family Detached,0.832924253,1376,3074,1,South,165.2,0.12005814,,19755.04162,7892.990062
6234,Single-Family Detached,0.968042554,3466.7,5776.3,2,Northwest,227.1,0.065508985,,15090.52247,5749.761325
6253,Single-Family Detached,0.99988623,2142,3029.6,2,North,298,0.139122316,,1691.899288,7687.840312
6258,Single-Family Attached,0.907960859,352.2,1327.2,1,North,105.6,0.299829642,,7754.953588,354.6159949
6271,Single-Family Detached,0.928814344,3917.8,7041,2,South,317.9,0.081142478,,38876.17053,2909.609585
6338,Single-Family Attached,0.873464516,414.4,1621.4,1,South,62.2,0.150096525,,1345.196212,1597.530404
6368,Single-Family Detached,0.979627785,2827.8,4454.8,2,North,211,0.074616309,,32030.03033,5967.806202
6417,Single-Family Detached,0.871514547,1340.8,2713.8,1,North,70.2,0.052356802,,575.5915818,1984.970358
6495,Single-Family Detached,0.801044342,1850.6,4605.6,1,Southeast,411.2,0.222198206,,12896.29937,7248.233708
6522,Single-Family Detached,0.801044342,1861.2,4297.4,1,West,280.6,0.150762949,,18093.9148,3937.409828
6523,Single-Family Detached,0.871514547,912.8,1599.2,1,North,74.4,0.08150745,,1189.868545,1232.070779
6628,Single-Family Detached,0.995742895,2512.8,3775,2,East,277.6,0.110474371,,12184.13667,7900.023767
6646,3 or 4 Unit,0.997557105,662.2,1516.2,2,Southwest,59.6,0.09000302,,1035.713162,1022.524964
6712,Single-Family Detached,0.871514547,1170.2,2398.2,1,North,210.6,0.179969236,,8644.717357,7444.005182
6725,Single-Family Detached,0.968042554,3466.7,5776.3,2,Southwest,378.8,0.10926818,,11231.94876,3835.421096
6742,Single-Family Detached,0.937146424,928.8,1637.6,1,North,126,0.135658915,,1382.709309,1202.470601
6797,Single-Family Detached,0.871514547,912.8,1599.2,1,West,124.2,0.136064855,,4019.176656,2263.680946
6806,Single-Family Detached,0.801044342,1861.2,4297.4,1,West,140.4,0.075435203,,5234.835456,6207.538338
6812,Single-Family Detached,0.832924253,1680,3954,1,East,216,0.128571429,,16537.12128,5659.788507
6814,5 to 9 Unit,0.847234846,565.5,565.5,4,Southwest,169.8,0.300265252,,2829.308111,2751.351207
6816,Single-Family Attached,0.996000752,1312.6,2151.6,2,West,196.9,0.150007618,,857.2328803,5391.921549
6898,Single-Family Detached,0.99988623,2142,2989.4,2,South,298,0.139122316,,2152.020868,9595.146838
6899,10 to 19 Unit,0.962018974,563.3,1701.3,3,Southwest,168.9,0.299840227,,4494.831003,2788.571232
6902,Single-Family Detached,0.906940775,1113.6,2098.6,1,East,89.2,0.080100575,,4908.061212,1063.847985
6951,Single-Family Detached,0.832924253,1680,3954,1,Northeast,72,0.042857143,,472.7236362,4494.537932
6962,Single-Family Detached,0.906940775,1421.4,2728.3,1,South,105.2,0.074011538,,4645.762604,0
6973,20 to 49 Unit,0.92112127,416.7,416.7,3,North,37.5,0.089992801,,8873.312792,1434.875959
7053,Single-Family Detached,0.995742895,2466,3576.2,2,Southeast,175,0.070965126,,10784.13617,3598.033529
7062,20 to 49 Unit,0.962018974,563.3,563.3,3,Northwest,168.9,0.299840227,,5876.074957,1285.116642
7089,Single-Family Detached,0.995742895,2466,3576.2,2,South,175,0.070965126,,5451.121905,3887.294675
7135,Single-Family Detached,0.968042554,2946.8,4797.2,2,Southwest,407.6,0.138319533,,9329.917519,9606.869681
7192,Single-Family Detached,0.979627785,2629.8,4126.8,2,South,366.5,0.13936421,,37026.30593,7939.29529
7203,10 to 19 Unit,0.962018974,402.4,1540.4,3,Northwest,48.2,0.119781312,,1190.747758,81.76682858
7279,Single-Family Detached,0.988418785,2811.6,4351.7,2,South,316.1,0.112427088,,23862.1396,5629.309115
7289,5 to 9 Unit,0.997557105,662.2,662.2,2,South,99.2,0.149803685,,5514.425256,2277.748357
7384,Single-Family Detached,0.773567127,2100,5094,1,Northwest,207.4,0.098761905,,18622.02887,5858.197622
7425,Single-Family Detached,0.871514547,1170.2,2398.2,1,West,70.2,0.059989745,,12067.20131,3528.868756
7456,Single-Family Detached,0.832924253,1680,3954,1,North,144.1,0.08577381,,3629.099062,4135.525871
7550,Single-Family Detached,0.98205407,2383.2,2949.2,3,West,142.9,0.059961396,,10303.20654,5584.762313
7564,Single-Family Detached,0.832924253,2027.8,4570.2,1,East,216,0.106519381,,27404.48963,4074.274017
7604,Single-Family Detached,0.995742895,1090.8,2040,2,East,196.4,0.180051338,,10145.82738,3094.244358
7686,Single-Family Detached,0.871514547,1340.8,2713.8,1,Southwest,210.6,0.157070406,,5510.322261,0
7692,Single-Family Detached,0.832924253,1611.8,3510.2,1,North,206.4,0.12805559,,2539.753895,2488.759527
7728,Single-Family Detached,0.871514547,1429,2945,1,Southeast,188.2,0.13170049,,4619.97235,4417.753312
7729,Single-Family Detached,0.832924253,1611.8,3510.2,1,South,165.2,0.102494106,,13170.90696,3286.792052
7817,Single-Family Detached,0.871514547,1340.8,2713.8,1,West,175.4,0.130817422,,8587.275427,5361.735228
7827,Single-Family Detached,0.871514547,1340.8,2713.8,1,Northwest,210.6,0.157070406,,10895.79624,2385.30544
7919,Single-Family Detached,0.832924253,2027.8,4570.2,1,East,180,0.088766151,,8742.310023,3449.739567
7932,Single-Family Detached,0.871514547,912.8,1599.2,1,Northeast,74.4,0.08150745,,2612.43552,3945.322746
7939,Single-Family Detached,0.928814344,3917.8,7041,2,North,423.6,0.108121905,,32798.16961,1371.279537
8067,Single-Family Detached,0.871514547,1170.2,2398.2,1,East,140.4,0.119979491,,9770.696408,2457.987065
8080,Single-Family Detached,0.801044342,2265.2,5345.4,1,Southwest,82.3,0.036332333,,12231.61419,5724.264143
8093,Single-Family Attached,0.873464516,414.4,1763.8,1,East,49.8,0.120173745,,3937.116757,3879.381756
8137,20 to 49 Unit,0.997557105,174.3,174.3,2,Southeast,26.1,0.149741824,,288.9680752,1123.341412
8162,Single-Family Detached,0.744529875,2381,6081.6,1,North,173,0.072658547,,53396.96284,1285.409713
8168,Single-Family Detached,0.871514547,1170.2,2398.2,1,North,140.4,0.119979491,,13576.51733,4273.269275
8175,Single-Family Detached,0.871514547,1170.2,2398.2,1,Northeast,70.2,0.059989745,,1846.640813,3331.045783
8257,5 to 9 Unit,0.99999585,563.3,563.3,2,East,101.4,0.180010652,,2124.765259,2899.645168
8270,Single-Family Detached,0.968042554,2200.1,4802.5,2,West,79.6,0.036180174,,14066.82523,7075.907918
8276,Single-Family Attached,0.996000752,690.8,1628.8,2,South,103.7,0.150115808,,8943.356777,1946.871119
8292,Mobile Home,0.906940775,991.2,1872.2,1,South,59.4,0.059927361,,2155.537721,2083.735309
8306,Single-Family Detached,0.988418785,2355.6,3573.6,2,North,132.3,0.056164035,,18392.55422,3435.379084
8310,Single-Family Detached,0.832924253,1611.8,3510.2,1,South,165.2,0.102494106,,8353.404713,3284.154413
8322,50 or more Unit,0.841018946,201.2,201.2,5,Northeast,60.3,0.299701789,,1072.347046,1324.681237
8336,20 to 49 Unit,0.943945833,174.3,1028.3,3,North,15.7,0.090074584,,562.6964547,1924.011576
8345,Single-Family Detached,0.832924253,2027.8,4570.2,1,Northwest,216,0.106519381,,11070.75968,3679.800357
8352,Single-Family Detached,0.979627785,2629.8,4126.8,2,West,293.2,0.111491368,,18271.80894,10185.68504
8368,Single-Family Detached,0.979627785,3085.8,5065.8,2,West,352,0.114070905,,6826.797508,5915.932622
8382,Single-Family Detached,0.995742895,2330,3467,2,East,166.4,0.071416309,,12495.37815,2353.360694
8398,Single-Family Detached,0.832924253,1898.8,4119.2,1,South,149,0.078470613,,9272.76866,4136.405085
8435,Single-Family Detached,0.988418785,2355.6,3573.6,2,Northeast,198.4,0.084224826,,7701.321582,6183.506509
8450,Single-Family Detached,0.871514547,1637.6,3332.5,1,West,94,0.057401075,,1133.89197,533.3893477
8532,Single-Family Detached,0.988418785,2588.2,3965.7,2,North,379.5,0.146626999,,2379.150948,6844.381773
8573,Single-Family Detached,0.979627785,1672,3491,2,South,107.2,0.064114833,,21628.64498,4091.565211
8621,2 Unit,0.910018263,662.2,1516.2,1,Southeast,79.4,0.119903352,,2751.644278,2958.845525
8644,Single-Family Detached,0.832924253,1680,3954,1,Southeast,216,0.128571429,,16718.2392,4717.271945
8685,10 to 19 Unit,0.813878704,662.2,662.2,5,North,198.7,0.300060405,,8977.059951,1305.338547
8775,Single-Family Attached,0.873464516,414.4,1763.8,1,East,49.8,0.120173745,,8070.004989,2663.136815
8787,Single-Family Detached,0.744529875,2381,6081.6,1,Northwest,173,0.072658547,,19389.28893,5683.527263
8793,Mobile Home,0.871514547,1170.2,2398.2,1,Northwest,210.6,0.179969236,,3748.378987,2085.786807
8813,50 or more Unit,0.875751516,487.9,1341.9,4,South,146.4,0.300061488,,2459.745492,1643.542561
8910,3 or 4 Unit,0.943945833,975.8,975.8,3,South,58.6,0.06005329,,6759.977305,1057.10735
8914,3 or 4 Unit,0.989937806,565.5,565.5,2,Southeast,169.8,0.300265252,,3167.512127,2234.373839
8946,Single-Family Detached,0.871514547,1429,2945,1,North,313.6,0.219454164,,5352.650026,6358.76301
